                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7973,                 3.9442,                 4.2182,                0.00193,                0.21515,                0.00278,                0.00075,                 3.7451,                 4.1036,                 4.1454,                0.00058,                0.00058,                0.00058
                      2,                 3.4584,                 3.5541,                 3.8932,                0.00183,                0.20909,                0.00216,                0.00063,                 3.8298,                  4.022,                 4.2585,              0.0011683,              0.0011683,              0.0011683
                      3,                 3.2361,                 3.4483,                 3.4663,                0.00224,                 0.2697,                0.00197,                0.00064,                 3.6661,                 4.3666,                 3.8798,              0.0017448,              0.0017448,              0.0017448
                      4,                 3.0296,                 3.2082,                 3.1622,                0.03582,                0.01818,                0.00374,                0.00112,                 3.4699,                 6.3254,                 4.2711,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.9633,                 3.1459,                 3.0327,                0.05612,                0.11212,                 0.0392,                0.01306,                 2.8745,                 19.408,                 3.3918,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.8168,                 3.0562,                  2.913,                0.12431,                0.10303,                0.05604,                0.01846,                 2.5966,                 8.3321,                 2.8334,               0.001901,               0.001901,               0.001901
                      7,                 2.6808,                 2.8965,                 2.8216,                0.04137,                0.12424,                0.01713,                0.00549,                 2.7684,                 5.2626,                 3.0011,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.6596,                 2.8725,                 2.7272,                0.08639,                0.22121,                0.05447,                0.01984,                 2.5445,                 4.0492,                 2.6768,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.5966,                 2.8427,                 2.6984,                 0.1291,                 0.1303,                0.06646,                0.02293,                 2.4765,                 4.6479,                 2.6296,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.5373,                 2.7408,                 2.6358,                0.14829,                0.17576,                0.09947,                 0.0433,                  2.528,                 3.3357,                  2.684,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.3964,                 2.8347,                 2.4998,                0.18736,                0.24242,                0.10822,                 0.0364,                 2.3932,                 2.8525,                 2.5821,               0.001802,               0.001802,               0.001802
                     12,                 2.4062,                 2.5636,                 2.5545,                0.20483,                0.27273,                0.16492,                0.06213,                 2.3053,                  2.634,                 2.4847,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.364,                  2.537,                 2.5042,                0.31232,                0.26667,                0.20702,                0.08252,                 2.1903,                  2.579,                 2.4169,              0.0017624,              0.0017624,              0.0017624
